Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
S&E Fields,Health,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[S&E Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2008,Yale University,Total for selected values,Total for selected values,71
2008,Yale University,Health,Total for selected values,71
2008,Yale University,Health,Female,50
2008,Yale University,Health,Male,21
2007,Total for selected values,Total for selected values,Total for selected values,"2,188"
2007,Brown University,Total for selected values,Total for selected values,40
2007,Brown University,Health,Total for selected values,40
2007,Brown University,Health,Female,18
2007,Brown University,Health,Male,22
2007,Columbia Univ in the City of New York,Total for selected values,Total for selected values,624
2007,Columbia Univ in the City of New York,Health,Total for selected values,624
2007,Columbia Univ in the City of New York,Health,Female,530
2007,Columbia Univ in the City of New York,Health,Male,94
2007,Cornell University,Total for selected values,Total for selected values,244
2007,Cornell University,Health,Total for selected values,244
2007,Cornell University,Health,Female,155
2007,Cornell University,Health,Male,89
2007,Dartmouth College,Total for selected values,Total for selected values,133
2007,Dartmouth College,Health,Total for selected values,133
2007,Dartmouth College,Health,Female,64
2007,Dartmouth College,Health,Male,69
2007,Duke University,Total for selected values,Total for selected values,10
2007,Duke University,Health,Total for selected values,10
2007,Duke University,Health,Female,10
2007,Harvard University,Total for selected values,Total for selected values,825
2007,Harvard University,Health,Total for selected values,825
2007,Harvard University,Health,Female,472
2007,Harvard University,Health,Male,353
2007,Massachusetts Institute of Technology,Total for selected values,Total for selected values,212
2007,Massachusetts Institute of Technology,Health,Total for selected values,212
2007,Massachusetts Institute of Technology,Health,Female,68
2007,Massachusetts Institute of Technology,Health,Male,144
2007,Stanford University,Total for selected values,Total for selected values,32
2007,Stanford University,Health,Total for selected values,32
2007,Stanford University,Health,Female,16
2007,Stanford University,Health,Male,16
2007,Yale University,Total for selected values,Total for selected values,68
2007,Yale University,Health,Total for selected values,68
2007,Yale University,Health,Female,48
2007,Yale University,Health,Male,20
2006,Total for selected values,Total for selected values,Total for selected values,"2,759"
2006,Brown University,Total for selected values,Total for selected values,38
2006,Brown University,Health,Total for selected values,38
2006,Brown University,Health,Female,16
2006,Brown University,Health,Male,22
2006,Columbia Univ in the City of New York,Total for selected values,Total for selected values,544
2006,Columbia Univ in the City of New York,Health,Total for selected values,544
2006,Columbia Univ in the City of New York,Health,Female,481
2006,Columbia Univ in the City of New York,Health,Male,63
2006,Cornell University,Total for selected values,Total for selected values,111
2006,Cornell University,Health,Total for selected values,111
2006,Cornell University,Health,Female,65
2006,Cornell University,Health,Male,46
2006,Dartmouth College,Total for selected values,Total for selected values,131
2006,Dartmouth College,Health,Total for selected values,131
2006,Dartmouth College,Health,Female,74
2006,Dartmouth College,Health,Male,57
2006,Duke University,Total for selected values,Total for selected values,12
2006,Duke University,Health,Total for selected values,12
2006,Duke University,Health,Female,8
2006,Duke University,Health,Male,4
2006,Harvard University,Total for selected values,Total for selected values,859
2006,Harvard University,Health,Total for selected values,859
2006,Harvard University,Health,Female,472
2006,Harvard University,Health,Male,387
2006,Massachusetts Institute of Technology,Total for selected values,Total for selected values,403
2006,Massachusetts Institute of Technology,Health,Total for selected values,403
2006,Massachusetts Institute of Technology,Health,Female,129
2006,Massachusetts Institute of Technology,Health,Male,274
2006,Stanford University,Total for selected values,Total for selected values,203
2006,Stanford University,Health,Total for selected values,203
2006,Stanford University,Health,Female,102
2006,Stanford University,Health,Male,101
2006,University of Pennsylvania,Total for selected values,Total for selected values,129
2006,University of Pennsylvania,Health,Total for selected values,129
2006,University of Pennsylvania,Health,Female,60
2006,University of Pennsylvania,Health,Male,69
2006,Yale University,Total for selected values,Total for selected values,329
2006,Yale University,Health,Total for selected values,329
2006,Yale University,Health,Female,293
2006,Yale University,Health,Male,36
2005,Total for selected values,Total for selected values,Total for selected values,"2,799"
2005,Brown University,Total for selected values,Total for selected values,35
2005,Brown University,Health,Total for selected values,35
2005,Brown University,Health,Female,12
2005,Brown University,Health,Male,23
2005,Columbia Univ in the City of New York,Total for selected values,Total for selected values,680
2005,Columbia Univ in the City of New York,Health,Total for selected values,680
2005,Columbia Univ in the City of New York,Health,Female,603
2005,Columbia Univ in the City of New York,Health,Male,77
2005,Cornell University,Total for selected values,Total for selected values,101
2005,Cornell University,Health,Total for selected values,101
2005,Cornell University,Health,Female,56
2005,Cornell University,Health,Male,45
2005,Dartmouth College,Total for selected values,Total for selected values,129
2005,Dartmouth College,Health,Total for selected values,129
2005,Dartmouth College,Health,Female,71
2005,Dartmouth College,Health,Male,58
2005,Duke University,Total for selected values,Total for selected values,16
2005,Duke University,Health,Total for selected values,16
2005,Duke University,Health,Female,11
2005,Duke University,Health,Male,5
2005,Harvard University,Total for selected values,Total for selected values,823
2005,Harvard University,Health,Total for selected values,823
2005,Harvard University,Health,Female,442
2005,Harvard University,Health,Male,381
2005,Massachusetts Institute of Technology,Total for selected values,Total for selected values,359
2005,Massachusetts Institute of Technology,Health,Total for selected values,359
2005,Massachusetts Institute of Technology,Health,Female,107
2005,Massachusetts Institute of Technology,Health,Male,252
2005,Stanford University,Total for selected values,Total for selected values,198
2005,Stanford University,Health,Total for selected values,198
2005,Stanford University,Health,Female,99
2005,Stanford University,Health,Male,99
2005,University of Pennsylvania,Total for selected values,Total for selected values,129
2005,University of Pennsylvania,Health,Total for selected values,129
2005,University of Pennsylvania,Health,Female,60
2005,University of Pennsylvania,Health,Male,69
2005,Yale University,Total for selected values,Total for selected values,329
2005,Yale University,Health,Total for selected values,329
2005,Yale University,Health,Female,282
2005,Yale University,Health,Male,47
2004,Total for selected values,Total for selected values,Total for selected values,"2,449"
2004,Brown University,Total for selected values,Total for selected values,74
2004,Brown University,Health,Total for selected values,74
2004,Brown University,Health,Female,46
2004,Brown University,Health,Male,28
2004,Columbia Univ in the City of New York,Total for selected values,Total for selected values,418
2004,Columbia Univ in the City of New York,Health,Total for selected values,418
2004,Columbia Univ in the City of New York,Health,Female,364
2004,Columbia Univ in the City of New York,Health,Male,54
2004,Cornell University,Total for selected values,Total for selected values,100
2004,Cornell University,Health,Total for selected values,100
2004,Cornell University,Health,Female,48
2004,Cornell University,Health,Male,52
2004,Dartmouth College,Total for selected values,Total for selected values,105
2004,Dartmouth College,Health,Total for selected values,105
2004,Dartmouth College,Health,Female,55
2004,Dartmouth College,Health,Male,50
2004,Duke University,Total for selected values,Total for selected values,7
2004,Duke University,Health,Total for selected values,7
2004,Duke University,Health,Female,5
2004,Duke University,Health,Male,2
2004,Harvard University,Total for selected values,Total for selected values,743
2004,Harvard University,Health,Total for selected values,743
2004,Harvard University,Health,Female,407
2004,Harvard University,Health,Male,336
2004,Massachusetts Institute of Technology,Total for selected values,Total for selected values,366
2004,Massachusetts Institute of Technology,Health,Total for selected values,366
2004,Massachusetts Institute of Technology,Health,Female,120
2004,Massachusetts Institute of Technology,Health,Male,246
2004,Stanford University,Total for selected values,Total for selected values,176
2004,Stanford University,Health,Total for selected values,176
2004,Stanford University,Health,Female,78
2004,Stanford University,Health,Male,98
2004,University of Pennsylvania,Total for selected values,Total for selected values,129
2004,University of Pennsylvania,Health,Total for selected values,129
2004,University of Pennsylvania,Health,Female,61
2004,University of Pennsylvania,Health,Male,68
2004,Yale University,Total for selected values,Total for selected values,331
2004,Yale University,Health,Total for selected values,331
2004,Yale University,Health,Female,283
2004,Yale University,Health,Male,48
2003,Total for selected values,Total for selected values,Total for selected values,"1,956"
2003,Brown University,Total for selected values,Total for selected values,20
2003,Brown University,Health,Total for selected values,20
2003,Brown University,Health,Female,10
2003,Brown University,Health,Male,10
2003,Columbia Univ in the City of New York,Total for selected values,Total for selected values,75
2003,Columbia Univ in the City of New York,Health,Total for selected values,75
2003,Columbia Univ in the City of New York,Health,Female,58
2003,Columbia Univ in the City of New York,Health,Male,17
2003,Cornell University,Total for selected values,Total for selected values,87
2003,Cornell University,Health,Total for selected values,87
2003,Cornell University,Health,Female,43
2003,Cornell University,Health,Male,44
2003,Dartmouth College,Total for selected values,Total for selected values,105
2003,Dartmouth College,Health,Total for selected values,105
2003,Dartmouth College,Health,Female,61
2003,Dartmouth College,Health,Male,44
2003,Harvard University,Total for selected values,Total for selected values,717
2003,Harvard University,Health,Total for selected values,717
2003,Harvard University,Health,Female,391
2003,Harvard University,Health,Male,326
2003,Massachusetts Institute of Technology,Total for selected values,Total for selected values,348
2003,Massachusetts Institute of Technology,Health,Total for selected values,348
2003,Massachusetts Institute of Technology,Health,Female,119
2003,Massachusetts Institute of Technology,Health,Male,229
2003,Stanford University,Total for selected values,Total for selected values,151
2003,Stanford University,Health,Total for selected values,151
2003,Stanford University,Health,Female,71
2003,Stanford University,Health,Male,80
2003,University of Pennsylvania,Total for selected values,Total for selected values,112
2003,University of Pennsylvania,Health,Total for selected values,112
2003,University of Pennsylvania,Health,Female,48
2003,University of Pennsylvania,Health,Male,64
2003,Yale University,Total for selected values,Total for selected values,341
2003,Yale University,Health,Total for selected values,341
2003,Yale University,Health,Female,296
2003,Yale University,Health,Male,45
2002,Total for selected values,Total for selected values,Total for selected values,"1,761"
2002,Brown University,Total for selected values,Total for selected values,21
2002,Brown University,Health,Total for selected values,21
2002,Brown University,Health,Female,10
2002,Brown University,Health,Male,11
2002,Columbia Univ in the City of New York,Total for selected values,Total for selected values,65
2002,Columbia Univ in the City of New York,Health,Total for selected values,65
2002,Columbia Univ in the City of New York,Health,Female,51
2002,Columbia Univ in the City of New York,Health,Male,14
2002,Cornell University,Total for selected values,Total for selected values,72
2002,Cornell University,Health,Total for selected values,72
2002,Cornell University,Health,Female,37
2002,Cornell University,Health,Male,35
2002,Dartmouth College,Total for selected values,Total for selected values,99
2002,Dartmouth College,Health,Total for selected values,99
2002,Dartmouth College,Health,Female,50
2002,Dartmouth College,Health,Male,49
2002,Harvard University,Total for selected values,Total for selected values,593
2002,Harvard University,Health,Total for selected values,593
2002,Harvard University,Health,Female,295
2002,Harvard University,Health,Male,298
2002,Massachusetts Institute of Technology,Total for selected values,Total for selected values,330
2002,Massachusetts Institute of Technology,Health,Total for selected values,330
2002,Massachusetts Institute of Technology,Health,Female,111
2002,Massachusetts Institute of Technology,Health,Male,219
2002,Stanford University,Total for selected values,Total for selected values,137
2002,Stanford University,Health,Total for selected values,137
2002,Stanford University,Health,Female,61
2002,Stanford University,Health,Male,76
2002,University of Pennsylvania,Total for selected values,Total for selected values,108
2002,University of Pennsylvania,Health,Total for selected values,108
2002,University of Pennsylvania,Health,Female,51
2002,University of Pennsylvania,Health,Male,57
2002,Yale University,Total for selected values,Total for selected values,336
2002,Yale University,Health,Total for selected values,336
2002,Yale University,Health,Female,294
2002,Yale University,Health,Male,42
2001,Total for selected values,Total for selected values,Total for selected values,"1,879"
2001,Brown University,Total for selected values,Total for selected values,23
2001,Brown University,Health,Total for selected values,23
2001,Brown University,Health,Female,10
2001,Brown University,Health,Male,13
2001,Columbia Univ in the City of New York,Total for selected values,Total for selected values,88
2001,Columbia Univ in the City of New York,Health,Total for selected values,88
2001,Columbia Univ in the City of New York,Health,Female,68
2001,Columbia Univ in the City of New York,Health,Male,20
2001,Cornell University,Total for selected values,Total for selected values,71
2001,Cornell University,Health,Total for selected values,71
2001,Cornell University,Health,Female,36
2001,Cornell University,Health,Male,35
2001,Dartmouth College,Total for selected values,Total for selected values,83
2001,Dartmouth College,Health,Total for selected values,83
2001,Dartmouth College,Health,Female,45
2001,Dartmouth College,Health,Male,38
2001,Harvard University,Total for selected values,Total for selected values,753
2001,Harvard University,Health,Total for selected values,753
2001,Harvard University,Health,Female,405
2001,Harvard University,Health,Male,348
2001,Massachusetts Institute of Technology,Total for selected values,Total for selected values,310
2001,Massachusetts Institute of Technology,Health,Total for selected values,310
2001,Massachusetts Institute of Technology,Health,Female,96
2001,Massachusetts Institute of Technology,Health,Male,214
2001,Stanford University,Total for selected values,Total for selected values,135
2001,Stanford University,Health,Total for selected values,135
2001,Stanford University,Health,Female,62
2001,Stanford University,Health,Male,73
2001,University of Pennsylvania,Total for selected values,Total for selected values,91
2001,University of Pennsylvania,Health,Total for selected values,91
2001,University of Pennsylvania,Health,Female,41
2001,University of Pennsylvania,Health,Male,50
2001,Yale University,Total for selected values,Total for selected values,325
2001,Yale University,Health,Total for selected values,325
2001,Yale University,Health,Female,279
2001,Yale University,Health,Male,46
2000,Total for selected values,Total for selected values,Total for selected values,"1,765"
2000,Brown University,Total for selected values,Total for selected values,19
2000,Brown University,Health,Total for selected values,19
2000,Brown University,Health,Female,9
2000,Brown University,Health,Male,10
2000,Columbia Univ in the City of New York,Total for selected values,Total for selected values,96
2000,Columbia Univ in the City of New York,Health,Total for selected values,96
2000,Columbia Univ in the City of New York,Health,Female,66
2000,Columbia Univ in the City of New York,Health,Male,30
2000,Cornell University,Total for selected values,Total for selected values,66
2000,Cornell University,Health,Total for selected values,66
2000,Cornell University,Health,Female,27
2000,Cornell University,Health,Male,39
2000,Dartmouth College,Total for selected values,Total for selected values,81
2000,Dartmouth College,Health,Total for selected values,81
2000,Dartmouth College,Health,Female,45
2000,Dartmouth College,Health,Male,36
2000,Duke University,Total for selected values,Total for selected values,12
2000,Duke University,Health,Total for selected values,12
2000,Duke University,Health,Female,7
2000,Duke University,Health,Male,5
2000,Harvard University,Total for selected values,Total for selected values,645
2000,Harvard University,Health,Total for selected values,645
2000,Harvard University,Health,Female,347
2000,Harvard University,Health,Male,298
2000,Massachusetts Institute of Technology,Total for selected values,Total for selected values,298
2000,Massachusetts Institute of Technology,Health,Total for selected values,298
2000,Massachusetts Institute of Technology,Health,Female,80
2000,Massachusetts Institute of Technology,Health,Male,218
2000,Stanford University,Total for selected values,Total for selected values,131
2000,Stanford University,Health,Total for selected values,131
2000,Stanford University,Health,Female,54
2000,Stanford University,Health,Male,77
2000,University of Pennsylvania,Total for selected values,Total for selected values,89
2000,University of Pennsylvania,Health,Total for selected values,89
2000,University of Pennsylvania,Health,Female,37
2000,University of Pennsylvania,Health,Male,52
2000,Yale University,Total for selected values,Total for selected values,328
2000,Yale University,Health,Total for selected values,328
2000,Yale University,Health,Female,277
2000,Yale University,Health,Male,51
1999,Total for selected values,Total for selected values,Total for selected values,"1,644"
