Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[SEH Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2014,Cornell University,Engineering,Male,"1,103"
2014,Cornell University,Health,Total for selected values,96
2014,Cornell University,Health,Female,66
2014,Cornell University,Health,Male,30
2014,Dartmouth College,Total for selected values,Total for selected values,905
2014,Dartmouth College,Science,Total for selected values,545
2014,Dartmouth College,Science,Female,240
2014,Dartmouth College,Science,Male,305
2014,Dartmouth College,Engineering,Total for selected values,190
2014,Dartmouth College,Engineering,Female,55
2014,Dartmouth College,Engineering,Male,135
2014,Dartmouth College,Health,Total for selected values,170
2014,Dartmouth College,Health,Female,78
2014,Dartmouth College,Health,Male,92
2014,Duke University,Total for selected values,Total for selected values,"2,654"
2014,Duke University,Science,Total for selected values,"1,989"
2014,Duke University,Science,Female,923
2014,Duke University,Science,Male,"1,066"
2014,Duke University,Engineering,Total for selected values,579
2014,Duke University,Engineering,Female,189
2014,Duke University,Engineering,Male,390
2014,Duke University,Health,Total for selected values,86
2014,Duke University,Health,Female,41
2014,Duke University,Health,Male,45
2014,Harvard University,Total for selected values,Total for selected values,"4,918"
2014,Harvard University,Science,Total for selected values,"4,192"
2014,Harvard University,Science,Female,"1,853"
2014,Harvard University,Science,Male,"2,339"
2014,Harvard University,Engineering,Total for selected values,186
2014,Harvard University,Engineering,Female,50
2014,Harvard University,Engineering,Male,136
2014,Harvard University,Health,Total for selected values,540
2014,Harvard University,Health,Female,342
2014,Harvard University,Health,Male,198
2014,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,744"
2014,Massachusetts Institute of Technology,Science,Total for selected values,"2,044"
2014,Massachusetts Institute of Technology,Science,Female,627
2014,Massachusetts Institute of Technology,Science,Male,"1,417"
2014,Massachusetts Institute of Technology,Engineering,Total for selected values,"2,700"
2014,Massachusetts Institute of Technology,Engineering,Female,774
2014,Massachusetts Institute of Technology,Engineering,Male,"1,926"
2014,Princeton University,Total for selected values,Total for selected values,"2,008"
2014,Princeton University,Science,Total for selected values,"1,516"
2014,Princeton University,Science,Female,567
2014,Princeton University,Science,Male,949
2014,Princeton University,Engineering,Total for selected values,492
2014,Princeton University,Engineering,Female,133
2014,Princeton University,Engineering,Male,359
2014,Stanford University,Total for selected values,Total for selected values,"6,458"
2014,Stanford University,Science,Total for selected values,"3,167"
2014,Stanford University,Science,Female,"1,205"
2014,Stanford University,Science,Male,"1,962"
2014,Stanford University,Engineering,Total for selected values,"3,270"
2014,Stanford University,Engineering,Female,930
2014,Stanford University,Engineering,Male,"2,340"
2014,Stanford University,Health,Total for selected values,21
2014,Stanford University,Health,Female,10
2014,Stanford University,Health,Male,11
2014,University of Pennsylvania,Total for selected values,Total for selected values,"3,407"
2014,University of Pennsylvania,Science,Total for selected values,"2,441"
2014,University of Pennsylvania,Science,Female,"1,138"
2014,University of Pennsylvania,Science,Male,"1,303"
2014,University of Pennsylvania,Engineering,Total for selected values,831
2014,University of Pennsylvania,Engineering,Female,244
2014,University of Pennsylvania,Engineering,Male,587
2014,University of Pennsylvania,Health,Total for selected values,135
2014,University of Pennsylvania,Health,Female,108
2014,University of Pennsylvania,Health,Male,27
2014,Yale University,Total for selected values,Total for selected values,"2,061"
2014,Yale University,Science,Total for selected values,"1,842"
2014,Yale University,Science,Female,874
2014,Yale University,Science,Male,968
2014,Yale University,Engineering,Total for selected values,204
2014,Yale University,Engineering,Female,61
2014,Yale University,Engineering,Male,143
2014,Yale University,Health,Total for selected values,15
2014,Yale University,Health,Female,14
2014,Yale University,Health,Male,1
2013,Total for selected values,Total for selected values,Total for selected values,"38,478"
2013,Brown University,Total for selected values,Total for selected values,"1,524"
2013,Brown University,Science,Total for selected values,"1,250"
2013,Brown University,Science,Female,586
2013,Brown University,Science,Male,664
2013,Brown University,Engineering,Total for selected values,172
2013,Brown University,Engineering,Female,52
2013,Brown University,Engineering,Male,120
2013,Brown University,Health,Total for selected values,102
2013,Brown University,Health,Female,75
2013,Brown University,Health,Male,27
2013,Columbia University in the City of New York,Total for selected values,Total for selected values,"5,174"
2013,Columbia University in the City of New York,Science,Total for selected values,"3,109"
2013,Columbia University in the City of New York,Science,Female,"1,396"
2013,Columbia University in the City of New York,Science,Male,"1,713"
2013,Columbia University in the City of New York,Engineering,Total for selected values,"1,965"
2013,Columbia University in the City of New York,Engineering,Female,589
2013,Columbia University in the City of New York,Engineering,Male,"1,376"
2013,Columbia University in the City of New York,Health,Total for selected values,100
2013,Columbia University in the City of New York,Health,Female,86
2013,Columbia University in the City of New York,Health,Male,14
2013,Cornell University,Total for selected values,Total for selected values,"4,922"
2013,Cornell University,Science,Total for selected values,"3,224"
2013,Cornell University,Science,Female,"1,596"
2013,Cornell University,Science,Male,"1,628"
2013,Cornell University,Engineering,Total for selected values,"1,575"
2013,Cornell University,Engineering,Female,512
2013,Cornell University,Engineering,Male,"1,063"
2013,Cornell University,Health,Total for selected values,123
2013,Cornell University,Health,Female,74
2013,Cornell University,Health,Male,49
2013,Dartmouth College,Total for selected values,Total for selected values,931
2013,Dartmouth College,Science,Total for selected values,551
2013,Dartmouth College,Science,Female,245
2013,Dartmouth College,Science,Male,306
2013,Dartmouth College,Engineering,Total for selected values,199
2013,Dartmouth College,Engineering,Female,60
2013,Dartmouth College,Engineering,Male,139
2013,Dartmouth College,Health,Total for selected values,181
2013,Dartmouth College,Health,Female,92
2013,Dartmouth College,Health,Male,89
2013,Duke University,Total for selected values,Total for selected values,"2,516"
2013,Duke University,Science,Total for selected values,"1,843"
2013,Duke University,Science,Female,890
2013,Duke University,Science,Male,953
2013,Duke University,Engineering,Total for selected values,590
2013,Duke University,Engineering,Female,189
2013,Duke University,Engineering,Male,401
2013,Duke University,Health,Total for selected values,83
2013,Duke University,Health,Female,39
2013,Duke University,Health,Male,44
2013,Harvard University,Total for selected values,Total for selected values,"5,181"
2013,Harvard University,Science,Total for selected values,"4,388"
2013,Harvard University,Science,Female,"1,961"
2013,Harvard University,Science,Male,"2,427"
2013,Harvard University,Engineering,Total for selected values,206
2013,Harvard University,Engineering,Female,64
2013,Harvard University,Engineering,Male,142
2013,Harvard University,Health,Total for selected values,587
2013,Harvard University,Health,Female,365
2013,Harvard University,Health,Male,222
2013,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,695"
2013,Massachusetts Institute of Technology,Science,Total for selected values,"1,951"
2013,Massachusetts Institute of Technology,Science,Female,602
2013,Massachusetts Institute of Technology,Science,Male,"1,349"
2013,Massachusetts Institute of Technology,Engineering,Total for selected values,"2,744"
2013,Massachusetts Institute of Technology,Engineering,Female,776
2013,Massachusetts Institute of Technology,Engineering,Male,"1,968"
2013,Princeton University,Total for selected values,Total for selected values,"2,013"
2013,Princeton University,Science,Total for selected values,"1,524"
2013,Princeton University,Science,Female,555
2013,Princeton University,Science,Male,969
2013,Princeton University,Engineering,Total for selected values,489
2013,Princeton University,Engineering,Female,127
2013,Princeton University,Engineering,Male,362
2013,Stanford University,Total for selected values,Total for selected values,"6,186"
2013,Stanford University,Science,Total for selected values,"2,936"
