Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Enrollment Status","Full Time"
"Institution Name","12 of 1070"
"SEH Fields","Science, Engineering"
"First-Time Students","First Time Students"

,,,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[SEH Fields]","[Detailed Fields]","[First-Time Students]","[Enrollment Status]","[Sex]",
"2016","Columbia University in the City of New York","Science","Microbiology, immunology, and virology","Total for selected values","Total for selected values","Total for selected values","4",
"2016","Columbia University in the City of New York","Science","Microbiology, immunology, and virology","First Time Students","Total for selected values","Total for selected values","4",
"2016","Columbia University in the City of New York","Science","Microbiology, immunology, and virology","First Time Students","Full Time","Total for selected values","4",
"2016","Columbia University in the City of New York","Science","Microbiology, immunology, and virology","First Time Students","Full Time","Female","3",
"2016","Columbia University in the City of New York","Science","Microbiology, immunology, and virology","First Time Students","Full Time","Male","1",
"2016","Columbia University in the City of New York","Science","Neurobiology and neuroscience","Total for selected values","Total for selected values","Total for selected values","27",
"2016","Columbia University in the City of New York","Science","Neurobiology and neuroscience","First Time Students","Total for selected values","Total for selected values","27",
"2016","Columbia University in the City of New York","Science","Neurobiology and neuroscience","First Time Students","Full Time","Total for selected values","27",
"2016","Columbia University in the City of New York","Science","Neurobiology and neuroscience","First Time Students","Full Time","Female","11",
"2016","Columbia University in the City of New York","Science","Neurobiology and neuroscience","First Time Students","Full Time","Male","16",
"2016","Columbia University in the City of New York","Science","Nutrition","Total for selected values","Total for selected values","Total for selected values","5",
"2016","Columbia University in the City of New York","Science","Nutrition","First Time Students","Total for selected values","Total for selected values","5",
"2016","Columbia University in the City of New York","Science","Nutrition","First Time Students","Full Time","Total for selected values","5",
"2016","Columbia University in the City of New York","Science","Nutrition","First Time Students","Full Time","Female","5",
"2016","Columbia University in the City of New York","Science","Pathology","Total for selected values","Total for selected values","Total for selected values","5",
"2016","Columbia University in the City of New York","Science","Pathology","First Time Students","Total for selected values","Total for selected values","5",
"2016","Columbia University in the City of New York","Science","Pathology","First Time Students","Full Time","Total for selected values","5",
"2016","Columbia University in the City of New York","Science","Pathology","First Time Students","Full Time","Female","1",
"2016","Columbia University in the City of New York","Science","Pathology","First Time Students","Full Time","Male","4",
"2016","Columbia University in the City of New York","Science","Pharmacology and toxicology","Total for selected values","Total for selected values","Total for selected values","4",
"2016","Columbia University in the City of New York","Science","Pharmacology and toxicology","First Time Students","Total for selected values","Total for selected values","4",
"2016","Columbia University in the City of New York","Science","Pharmacology and toxicology","First Time Students","Full Time","Total for selected values","4",
"2016","Columbia University in the City of New York","Science","Pharmacology and toxicology","First Time Students","Full Time","Female","1",
"2016","Columbia University in the City of New York","Science","Pharmacology and toxicology","First Time Students","Full Time","Male","3",
"2016","Columbia University in the City of New York","Science","Physics","Total for selected values","Total for selected values","Total for selected values","17",
"2016","Columbia University in the City of New York","Science","Physics","First Time Students","Total for selected values","Total for selected values","17",
"2016","Columbia University in the City of New York","Science","Physics","First Time Students","Full Time","Total for selected values","17",
"2016","Columbia University in the City of New York","Science","Physics","First Time Students","Full Time","Female","3",
"2016","Columbia University in the City of New York","Science","Physics","First Time Students","Full Time","Male","14",
"2016","Columbia University in the City of New York","Science","Physiology","Total for selected values","Total for selected values","Total for selected values","2",
"2016","Columbia University in the City of New York","Science","Physiology","First Time Students","Total for selected values","Total for selected values","2",
"2016","Columbia University in the City of New York","Science","Physiology","First Time Students","Full Time","Total for selected values","2",
"2016","Columbia University in the City of New York","Science","Physiology","First Time Students","Full Time","Female","1",
"2016","Columbia University in the City of New York","Science","Physiology","First Time Students","Full Time","Male","1",
"2016","Columbia University in the City of New York","Science","Political science and government","Total for selected values","Total for selected values","Total for selected values","41",
"2016","Columbia University in the City of New York","Science","Political science and government","First Time Students","Total for selected values","Total for selected values","41",
"2016","Columbia University in the City of New York","Science","Political science and government","First Time Students","Full Time","Total for selected values","41",
"2016","Columbia University in the City of New York","Science","Political science and government","First Time Students","Full Time","Female","11",
"2016","Columbia University in the City of New York","Science","Political science and government","First Time Students","Full Time","Male","30",
"2016","Columbia University in the City of New York","Science","Psychology, general","Total for selected values","Total for selected values","Total for selected values","3",
"2016","Columbia University in the City of New York","Science","Psychology, general","First Time Students","Total for selected values","Total for selected values","3",
"2016","Columbia University in the City of New York","Science","Psychology, general","First Time Students","Full Time","Total for selected values","3",
"2016","Columbia University in the City of New York","Science","Psychology, general","First Time Students","Full Time","Female","3",
"2016","Columbia University in the City of New York","Science","Social sciences not elsewhere classified","Total for selected values","Total for selected values","Total for selected values","69",
"2016","Columbia University in the City of New York","Science","Social sciences not elsewhere classified","First Time Students","Total for selected values","Total for selected values","69",
"2016","Columbia University in the City of New York","Science","Social sciences not elsewhere classified","First Time Students","Full Time","Total for selected values","69",
"2016","Columbia University in the City of New York","Science","Social sciences not elsewhere classified","First Time Students","Full Time","Female","43",
"2016","Columbia University in the City of New York","Science","Social sciences not elsewhere classified","First Time Students","Full Time","Male","26",
"2016","Columbia University in the City of New York","Science","Sociology","Total for selected values","Total for selected values","Total for selected values","26",
"2016","Columbia University in the City of New York","Science","Sociology","First Time Students","Total for selected values","Total for selected values","26",
"2016","Columbia University in the City of New York","Science","Sociology","First Time Students","Full Time","Total for selected values","26",
"2016","Columbia University in the City of New York","Science","Sociology","First Time Students","Full Time","Female","14",
"2016","Columbia University in the City of New York","Science","Sociology","First Time Students","Full Time","Male","12",
"2016","Columbia University in the City of New York","Science","Statistics","Total for selected values","Total for selected values","Total for selected values","291",
"2016","Columbia University in the City of New York","Science","Statistics","First Time Students","Total for selected values","Total for selected values","291",
"2016","Columbia University in the City of New York","Science","Statistics","First Time Students","Full Time","Total for selected values","291",
"2016","Columbia University in the City of New York","Science","Statistics","First Time Students","Full Time","Female","146",
"2016","Columbia University in the City of New York","Science","Statistics","First Time Students","Full Time","Male","145",
"2016","Columbia University in the City of New York","Engineering","Total for selected values","Total for selected values","Total for selected values","Total for selected values","1,086",
"2016","Columbia University in the City of New York","Engineering","Biomedical engineering","Total for selected values","Total for selected values","Total for selected values","52",
"2016","Columbia University in the City of New York","Engineering","Biomedical engineering","First Time Students","Total for selected values","Total for selected values","52",
"2016","Columbia University in the City of New York","Engineering","Biomedical engineering","First Time Students","Full Time","Total for selected values","52",
"2016","Columbia University in the City of New York","Engineering","Biomedical engineering","First Time Students","Full Time","Female","26",
"2016","Columbia University in the City of New York","Engineering","Biomedical engineering","First Time Students","Full Time","Male","26",
"2016","Columbia University in the City of New York","Engineering","Chemical engineering","Total for selected values","Total for selected values","Total for selected values","81",
"2016","Columbia University in the City of New York","Engineering","Chemical engineering","First Time Students","Total for selected values","Total for selected values","81",
"2016","Columbia University in the City of New York","Engineering","Chemical engineering","First Time Students","Full Time","Total for selected values","81",
"2016","Columbia University in the City of New York","Engineering","Chemical engineering","First Time Students","Full Time","Female","39",
"2016","Columbia University in the City of New York","Engineering","Chemical engineering","First Time Students","Full Time","Male","42",
"2016","Columbia University in the City of New York","Engineering","Civil engineering","Total for selected values","Total for selected values","Total for selected values","84",
